000	Cholera	0	Intestinal infectious diseases		
0000	Classical Cholera	0	Intestinal infectious diseases		
0001	El Tor	0	Intestinal infectious diseases		
0009	Unspecified	0	Intestinal infectious diseases		
001	Typhoid fever	0	Intestinal infectious diseases		
002	Paratyphoid fever	0	Intestinal infectious diseases		
0020	Paratyphoid fever A	0	Intestinal infectious diseases		
0021	Paratyphoid fever B	0	Intestinal infectious diseases		
0022	Paratyphoid fever C	0	Intestinal infectious diseases		
0029	Paratyphoid fever unspecified	0	Intestinal infectious diseases		
003	Other Salmonella infections	0	Intestinal infectious diseases		
0030	With food as vehicle of infection	0	Intestinal infectious diseases		
0039	Without mention of food as vehicle of infection	0	Intestinal infectious diseases		
004	Bacillary dysentery	0	Intestinal infectious diseases		
0040	Shiga	0	Intestinal infectious diseases		
0041	Flexner	0	Intestinal infectious diseases		
0042	Boyd	0	Intestinal infectious diseases		
0043	Soone	0	Intestinal infectious diseases		
0044	Schmitz-(Stutzer)	0	Intestinal infectious diseases		
0048	Other bacillary	0	Intestinal infectious diseases		
0049	Unspecified	0	Intestinal infectious diseases		
005	Food poisoning (bacterial)	0	Intestinal infectious diseases		
0050	Staphylococcal	0	Intestinal infectious diseases		
0051	Botulism	0	Intestinal infectious diseases		
0052	Due to other clostridia	0	Intestinal infectious diseases		
0058	Other specified bacterial food poisoning	0	Intestinal infectious diseases		
0059	Food poisoning, unspecified	0	Intestinal infectious diseases		
006	Amoebiasis	0	Intestinal infectious diseases		
0060	With liver abscess	0	Intestinal infectious diseases		
0069	Without mention of liver abscess	0	Intestinal infectious diseases		
007	Other protozoal intestinal diseases	0	Intestinal infectious diseases		
0070	Balantidiasis	0	Intestinal infectious diseases		
0071	Giardiasis	0	Intestinal infectious diseases		
0072	Coccidiosis	0	Intestinal infectious diseases		
0079	Other and unspecified	0	Intestinal infectious diseases		
008	Enteritis due to other specified organism	0	Intestinal infectious diseases		
0080	Escherichia coli	0	Intestinal infectious diseases		
0081	Arizona	0	Intestinal infectious diseases		
0082	Other specified bacteria	0	Intestinal infectious diseases		
0083	Bacterial enteritis, unspecified	0	Intestinal infectious diseases		
0088	Enteritis due to specified virus	0	Intestinal infectious diseases		
0089	Other organism, not elsewhere classified	0	Intestinal infectious diseases		
009	Diarrhoeal disease	0	Intestinal infectious diseases		
0090	Dysentery, unspecified	0	Intestinal infectious diseases		
0091	Diarrhoea	0	Intestinal infectious diseases		
0092	Gastro-enteritis and colitis	0	Intestinal infectious diseases		
0099	Other diarrhoeal disease	0	Intestinal infectious diseases		
010	Silicotuberculosis	1	Tuberculosis		
011	Pulmonary tuberculosis	1	Tuberculosis		
0110	Active, minimal	1	Tuberculosis		
0111	Active, moderately advanced	1	Tuberculosis		
0112	Active, far advanced	1	Tuberculosis		
0113	Active, stage unspecified	1	Tuberculosis		
0114	Miliary, lung NOS	1	Tuberculosis		
0115	Radiological evidence alone	1	Tuberculosis		
0119	Pulmonary tuberculosis NOS	1	Tuberculosis		
012	Other respiratory tuberculosis	1	Tuberculosis		
0120	Primary	1	Tuberculosis		
0121	Pleurisy specified as tuberculous	1	Tuberculosis		
0122	Pleurisy with effusion without mention of cause	1	Tuberculosis		
0123	Tuberculous laryngitis	1	Tuberculosis		
0129	Other respiratory tuberculosis	1	Tuberculosis		
013	Tuberculosis of meninges and central nervous system	1	Tuberculosis		
0130	Tuberculous meningitis	1	Tuberculosis		
0139	Other central nervous system	1	Tuberculosis		
014	Tuberculosis of intestines, peritoneum and mesenteric glands	1	Tuberculosis		
015	Tuberculosis of bones and joints	1	Tuberculosis		
0150	Of vertebral column	1	Tuberculosis		
0151	Of hip	1	Tuberculosis		
0152	Of knee	1	Tuberculosis		
0158	Of other specified bones and joints	1	Tuberculosis		
0159	Of unspecified bones and joints	1	Tuberculosis		
016	Tuberculosis of genito-urinary system	1	Tuberculosis		
0160	Kidney	1	Tuberculosis		
0161	Other urinary organs	1	Tuberculosis		
0162	Genital organs (male and female)	1	Tuberculosis		
0169	Genito-urinary system, site unspecified	1	Tuberculosis		
017	Tuberculosis of other organs	1	Tuberculosis		
0170	Of skin and subcutaneous cellular tissue	1	Tuberculosis		
0171	Of peripheral lymphatic glands	1	Tuberculosis		
0172	Of eye	1	Tuberculosis		
0173	Of ear	1	Tuberculosis		
0179	Of other organs	1	Tuberculosis		
018	Disseminated tuberculosis	1	Tuberculosis		
0180	Acute miliary tuberculosis specified as nonpulmonary	1	Tuberculosis		
0181	Acute miliary tuberculosis unspecified	1	Tuberculosis		
0189	Other forms of disseminated tuberculosis	1	Tuberculosis		
019	Late effects of tuberculosis	1	Tuberculosis		
0190	Respiratory tuberculosis	1	Tuberculosis		
0191	Of central nervous system	1	Tuberculosis		
0192	Of genito-urinary system	1	Tuberculosis		
0193	Of vertabral column	1	Tuberculosis		
0194	Of hip	1	Tuberculosis		
0195	Of knee	1	Tuberculosis		
0196	Of other bones and joints	1	Tuberculosis		
0199	Of other specified organs	1	Tuberculosis		
020	Plague	2	Zoonotic bacterial diseases		
0200	Bubonic	2	Zoonotic bacterial diseases		
0201	Pulmonic	2	Zoonotic bacterial diseases		
0209	Unspecified	2	Zoonotic bacterial diseases		
021	Tularaemia	2	Zoonotic bacterial diseases		
022	Anthrax	2	Zoonotic bacterial diseases		
023	Brucellosis	2	Zoonotic bacterial diseases		
0230	Brucella melitensis	2	Zoonotic bacterial diseases		
0231	Brucella abortus	2	Zoonotic bacterial diseases		
0232	Brucella suis	2	Zoonotic bacterial diseases		
0239	Unspecified	2	Zoonotic bacterial diseases		
024	Glanders	2	Zoonotic bacterial diseases		
025	Melioidosis	2	Zoonotic bacterial diseases		
026	Rat-bite fever	2	Zoonotic bacterial diseases		
0261	Spirillum minus	2	Zoonotic bacterial diseases		
0262	Streptobacillus moniliformis	2	Zoonotic bacterial diseases		
0269	Unspecified	2	Zoonotic bacterial diseases		
027	Other zoonotic bacterial diseases	2	Zoonotic bacterial diseases		
0270	Listeriosis	2	Zoonotic bacterial diseases		
0271	Erysipelothrix infection	2	Zoonotic bacterial diseases		
0279	Other	2	Zoonotic bacterial diseases		
030	Leprosy	3	Other bacterial diseases		
0300	Lepromatous	3	Other bacterial diseases		
0301	Tuberculoid	3	Other bacterial diseases		
0302	Indeterminate	3	Other bacterial diseases		
0303	Borderline	3	Other bacterial diseases		
0309	Other and unspecified	3	Other bacterial diseases		
031	Other diseases due to Mycobacteria	3	Other bacterial diseases		
0310	Pulmonary	3	Other bacterial diseases		
0319	Other and unspecified	3	Other bacterial diseases		
032	Diphtheria	3	Other bacterial diseases		
033	Whooping cough	3	Other bacterial diseases		
0330	Bordetalla Pertussis	3	Other bacterial diseases		
0331	Bordetalla parapertussis	3	Other bacterial diseases		
0339	Other and unspecified	3	Other bacterial diseases		
034	Streptococcal sore throat and scarlet fever	3	Other bacterial diseases		
