A00	Cholera	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A000	Cholera due to Vibrio cholerae 01, biovar cholerae	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A001	Cholera due to Vibrio cholerae 01, biovar eltor	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A009	Cholera, unspecified	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A01	Typhoid and paratyphoid fevers	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A010	Typhoid fever	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A011	Paratyphoid fever A	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A012	Paratyphoid fever B	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A013	Paratyphoid fever C	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A014	Paratyphoid fever, unspecified	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A02	Other salmonella infections	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A020	Salmonella enteritis	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A021	Salmonella septicaemia	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A022	Localized salmonella infections	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A028	Other specified salmonella infections	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A029	Salmonella infection, unspecified	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A03	Shigellosis	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A030	Shigellosis due to Shigella dysenteriae	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A031	Shigellosis due to Shigella flexneri	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A032	Shigellosis due to Shigella boydii	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A033	Shigellosis due to Shigella sonnei	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A038	Other shigellosis	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A039	Shigellosis, unspecified	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A04	Other bacterial intestinal infections	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A040	Enteropathogenic Escherichia coli infection	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A041	Enterotoxigenic Escherichia coli infection	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A042	Enteroinvasive Escherichia coli infection	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A043	Enterohaemorrhagic Escherichia coli infection	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A044	Other intestinal Escherichia coli infections	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A045	Campylobacter enteritis	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A046	Enteritis due to Yersinia enterocolitica	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A047	Enterocolitis due to Clostridium difficile	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A048	Other specified bacterial intestinal infections	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A049	Bacterial intestinal infection, unspecified	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A05	Other bacterial foodborne intoxications, not elsewhere classified	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A050	Foodborne staphylococcal intoxication	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A051	Botulism	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A053	Foodborne Vibrio parahaemolyticus intoxication	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A054	Foodborne Bacillus cereus intoxication	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A058	Other specified bacterial foodborne intoxications	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A059	Bacterial foodborne intoxication, unspecified	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A06	Amoebiasis	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A060	Acute amoebic dysentery	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A061	Chronic intestinal amoebiasis	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A062	Amoebic nondysenteric colitis	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A063	Amoeboma of intestine	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A064	Amoebic liver abscess	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A065	Amoebic lung abscess	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A066	Amoebic brain abscess	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A067	Cutaneous amoebiasis	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A068	Amoebic infection of other sites	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
A069	Amoebiasis, unspecified	Certain infectious and parasitic diseases	1	Intestinal infectious diseases	R1
